id,address,location
240,大祥区食药局旁,"111.439091,27.221452"
241,双清区新华路中段,"111.506138,27.239935"
242,双清区东大路391号一楼,"111.487724,27.242216"
243,双清区建设南路铁砂岭市场旁,"111.499431,27.195790"
244,双清区永庆街63号,"111.472648,27.240875"
245,双清区妇幼保健院1-6号门面,"111.491562,27.237290"
246,大祥区红旗路专署内行政二科传达室,"111.462570,27.235511"
247,双清区六中路口（铁砂岭1组16号）,"111.476782,27.230568"
248,大祥区火车南站站前区8号地第6栋1号门面,"111.462127,27.214494"
249,大祥区学院路街道梅子社区5组104号,"111.428049,27.190144"
250,大祥区西外街四公司家属区斜对面,"111.441681,27.237156"
251,大祥区红星社区19号安置地5栋15号,"111.463840,27.217648"
252,大祥区火车南站盛世嘉园11号楼,"111.465448,27.217532"
253,双清区邵石路735号,"111.490557,27.237650"
254,双清区东大路安居小区34号,"111.505590,27.251342"
255,双清区跃进社区6组1232号,"111.513439,27.254701"
256,大祥区宝庆西路湘印机转角大楼,"111.446988,27.230262"
257,双清区石桥乡马安村7号3A2栋,"111.486440,27.222489"
258,大祥区檀江乡双江村7组270号,"111.504202,27.194457"
259,大祥区邵州西路南方明珠1栋负一楼3-6号门面,"111.444733,27.212319"
260,大祥区宝庆西路298号,"111.444580,27.230680"
261,大祥区戴家路1栋1单元1楼3-4号,"111.471867,27.228617"
262,双清区邵水东路保宁三巷17栋1号,"111.475091,27.235791"
263,双清区新华社区7组,"111.504534,27.246371"
264,双清区石桥乡五一村1组,"111.501267,27.225573"
265,双清区渡头桥镇姚喆村1组63号,"111.573048,27.198786"
266,双清区石桥乡马安村,"111.486440,27.222489"
267,大祥区西湖南路中天宝电馨城小区8号楼1单元0101002室,"111.450942,27.206650"
268,双清区机电市场A4栋1-3号门面,"111.496341,27.232708"
269,大祥区板桥乡金桥村村部门面,"111.564473,27.179123"
270,双清区双坡北路华西1号综合楼,"111.493360,27.249136"
271,双清区鸡笼乡渡头村3组,"111.496341,27.232708"
272,双清区湘西南大市场13栋1号门面,"111.517094,27.252625"
273,大祥区城南乡红星社区3组15号第1栋2单元1号门面,"111.462450,27.218500"
274,大祥区蔡锷乡蔡锷村5组202号,"111.527209,27.153409"
275,大祥区遥临巷,"111.462905,27.236753"
276,大祥区宝庆中路九福大厦2号,"111.472473,27.232837"
277,大祥区火车南站,"111.462127,27.214494"
278,北塔区茶元头乡樟木村2组175号,"111.412547,27.200303"
279,北塔区茶元头乡枫林村54号,"111.377881,27.246061"
280,双清区汽制三村路旁,"111.496341,27.232708"
281,北塔区中驰第一城1栋0001017号,"111.453825,27.254724"
282,大祥区百春园马蹄路17—19号（百春园派出所旁）,"111.449956,27.219755"
283,大祥区宝庆西路323号,"111.446436,27.230311"
284,北塔区杨家垅加油站旁,"111.456571,27.235018"
285,大祥区宝庆西路市医专对面,"111.454030,27.216048"
286,北塔区磨石社区5组344号,"111.438699,27.244493"
287,双清区工业街派出所综合楼,"111.477430,27.250820"
288,双清区邵阳大道长城大酒店旁,"111.482434,27.219921"
289,双清区国迴栏街98号综合楼,"111.452500,27.225250"
290,双清区十井铺盐业公司2号仓库,"111.495794,27.250400"
291,双清区东大路缇香郡小区,"111.497018,27.245942"
292,大祥区城南乡梅子社区7组,"111.428049,27.190144"
293,双清区石桥乡石桥村8组,"111.512985,27.216580"
294,大祥区宝庆中路16号,"111.453917,27.230479"
295,大祥区电大路1号,"111.454365,27.227895"
296,双清区公园一号B区—0001011门面,"111.478497,27.249479"
297,双清区石桥乡屏丰村4组75号,"111.501309,27.211711"
298,大祥区城南乡桃花村,"111.457749,27.194443"
299,北塔区区魏源路南18号,"111.458546,27.245511"
300,北塔区资枣园21栋,"111.452197,27.246489"
301,双清区东大路1004号门面,"111.493603,27.242797"
302,大祥区马蹄路晶美花园5号楼2号门面,"111.450282,27.223805"
303,北塔区世界钰园项目2栋1029号,"111.457715,27.264148"
304,大祥区百春园3栋5号,"111.452484,27.223134"
305,北塔区九江社区7栋,"111.462369,27.243500"
306,大祥区乾元巷,"111.460622,27.233743"
307,北塔区资枣社区1号安置地2栋2—3号,"111.448647,27.250183"
308,北塔区状元社区2栋,"111.450653,27.245523"
309,北塔区蔬菜市场门口,"111.467072,27.244520"
310,双清区马家二巷,"111.496341,27.232708"
311,双清区交警支队车管所内,"111.503114,27.240648"
312,大祥区火车南站桃花南站1—03号廉租房4号楼,"111.462127,27.214494"
313,大祥区东湖日欣1栋0001014—0001015号,"111.466156,27.216648"
314,北塔区兴城装饰材料大市场15栋7号门面,"111.452197,27.246489"
315,北塔区蔡锷路中段康尔佳药业集团办公室一间,"111.455779,27.242524"
316,双清区湘桂黔建材城一期3号市场1栋东头楼梯间,"111.504538,27.237417"
317,双清区得丰大厦52号门面,"111.497059,27.238321"
318,北塔区新滩镇棉纺厂,"111.414769,27.232129"
319,双清区大汉东风商业步行街C区1楼0001027号,"111.479333,27.239083"
320,大祥区城北路163号,"111.469885,27.240504"
321,北塔区江北开发区83号地(区政府旁边).,"111.441254,27.221098"
322,大祥区邵州路41号地凯轩花园2号综合楼,"111.464890,27.216350"
323,双清区昭陵西路昭东市场14栋0001004,"111.477521,27.240116"
324,大祥区雪峰南路9号湘泰九龙城小区3栋—1011号商铺,"111.436719,27.214386"
325,大祥区邵阳学院大门口一号门面,"111.438222,27.195628"
326,双清区江湖居委会第五组,"111.496341,27.232708"
327,北塔区鹏程大厦,"111.456939,27.244788"
328,双清区双坡路43号,"111.494116,27.247272"
329,北塔区新滩镇杨家垅村4号门面,"111.406427,27.233987"
330,北塔区茶元头乡刘黑村9组264号,"111.427188,27.207764"
331,大祥区宝庆中路老干活动中心5号门面,"111.464468,27.232119"
332,双清区工业街派出所旁清泉花园1栋,"111.477050,27.251186"
333,大祥区雨溪镇新冲村5组,"111.412907,27.159144"
334,双清区渡头桥镇群力村,"111.580140,27.224101"
335,双清区火车站古塘社区4组120号,"111.534035,27.258319"
336,大祥区城南街道清风村12组381号附2号,"111.459254,27.172772"
337,双清区兴隆办理处汽制三村1号楼,"111.603460,27.258618"
338,双清区雍翠小区3号楼,"111.496341,27.232708"
339,大祥区和兴南方明珠小区15—18号车库,"111.445229,27.212206"
340,北塔区江北市场12栋侧面,"111.455079,27.243416"
341,双清区金罗湾商贸城6栋0002022号,"111.495203,27.252059"
342,大祥区宝庆中路老干所活动中心2号门面,"111.464468,27.232119"
343,双清区高崇山大汉路太美广场2栋,"111.593539,27.255099"
344,双清区火车站跃进社区8组408号,"111.534035,27.258319"
345,双清区东大路五井塘口,"111.492992,27.240893"
346,大祥区邵府街社区宝庆中路170号门面,"111.464468,27.232119"
347,双清区石桥乡金星村5组,"111.486907,27.209710"
348,北塔区新滩镇新滩社区365号,"111.414935,27.231958"
349,大祥区铜铃社区。,"111.456717,27.215928"
350,双清区宝庆中路1505号六楼605-606室,"111.464468,27.232119"
351,双清区昭陵西路日月星城101号门面,"111.478558,27.240502"
352,双清区京都世纪城第31栋0单元0001009号门面,"111.496825,27.212885"
353,大祥区火车南站出站口旁,"111.462127,27.214494"
354,大祥区大安路站前区25—1号地2栋,"111.458445,27.233171"
355,双清区双坡南路四公司医院6号门面,"111.497025,27.239283"
356,大祥区法院侧巷内,"111.447434,27.219213"
357,北塔区用社门面,"111.452197,27.246489"
358,双清区邵阳商业步行街A1A2通道电梯间,"111.479721,27.239606"
359,双清区保宁二巷70号门面,"111.474433,27.235969"
360,双清区宝庆东路民政局1—4号门面,"111.488346,27.232891"
361,北塔区茶元头乡枫林村,"111.377881,27.246061"
362,大祥区樟树龙小区12栋1号门面,"111.435786,27.232298"
363,双清区邵石路湘运临街门面,"111.489707,27.237474"
364,大祥区檀江乡月塘村3组85号,"111.516683,27.174132"
365,大祥区学院路街道梅子社区7组,"111.428049,27.190144"
366,大祥区桃源建材城8栋,"111.457680,27.210334"
367,大祥区江南世家小区二期20栋与43A栋之间临大祥路四间门面,"111.442282,27.217106"
368,双清区湘桂黔建材城紫薇上城1栋107号门面,"111.508998,27.242397"
369,大祥区宝庆西路526号附26号,"111.441088,27.230559"
370,大祥区戴家路城南帝景B4门面,"111.472637,27.231301"
371,双清区乾道大厦转角门面,"111.495661,27.233054"
372,大祥区南正街1号门面,"111.458572,27.236305"
373,大祥区祭旗社区城南老供销社门面,"111.448833,27.215615"
374,双清区五一北路456号,"111.479131,27.248425"
375,北塔区状元洲资枣村349号,"111.448853,27.249981"
376,大祥区劳动社会保障局后勤服务中心5-6号门面,"111.439091,27.221452"
377,大祥区曹婆井富泰大厦,"111.468365,27.238455"
378,双清区湘桂黔建材城二期C区1栋16号门面,"111.511111,27.240508"
379,双清区邵阳大道中段中小企业创业中心斜对面,"111.534683,27.241125"
380,大祥区面铺乡罗市镇16组,"111.476797,27.139502"
381,大祥区九十亭社区45号安置地,"111.468440,27.215675"
382,双清区石桥乡金星村6组234号附1号,"111.486907,27.209710"
383,北塔区江北大市场6栋48号,"111.454709,27.242303"
384,大祥区湘印机34栋108号,"111.441392,27.230247"
385,双清区火车站乡跃进社区湘西南物流中心2栋0001017,"111.513439,27.254701"
386,双清区湘桂黔建材城紫薇上城天街桥下1-2号门面,"111.508998,27.242397"
387,双清区石桥乡株木村317号,"111.494441,27.220654"
388,双清区邵石路粮运车队3-4号门面,"111.475269,27.241821"
389,双清区金罗湾1栋1102号门面,"111.496341,27.232708"
390,大祥区城北路四通综合楼1层1号,"111.458077,27.236569"
391,双清区得丰大厦25号,"111.496902,27.237899"
392,大祥区邵州西路6—6号地,"111.439091,27.221452"
393,双清区石桥乡大坡村新华南路与立新路交汇处,"111.519757,27.226856"
394,双清区陶家冲社区10组,"111.499889,27.235456"
395,北塔区陈家桥乡原种场7号,"111.433754,27.269004"
396,双清区邵石路胡家垅社区31号,"111.489707,27.237474"
397,大祥区西外街水映名城对面,"111.444365,27.237329"
398,大祥区雨溪镇唐四村5组,"111.407511,27.167815"
399,大祥区城南乡梅子井德馨公租房旁,"111.426094,27.191566"
400,大祥区邵洲西路汇福佳园小区2栋,"111.442966,27.211570"
401,大祥区城南园艺场马鞍石305号,"111.445432,27.205733"
402,双清区昭陵西路公路管理局综合楼1号门面,"111.480135,27.240612"
403,大祥区蔡锷乡新林村5组,"111.548541,27.131494"
404,北塔区新滩镇新滩社区22号,"111.414935,27.231958"
405,北塔区蔡锷路87号,"111.456824,27.251716"
406,双清区火车站乡红旗社区9组349号,"111.542931,27.260794"
407,大祥区中天宝电馨城荷园路9-106号商铺,"111.450721,27.208510"
408,大祥区湘泰九龙城3栋1018-1019号商铺,"111.437250,27.213510"
409,大祥区汇福郦城6栋14号,"111.436808,27.222497"
410,大祥区雪峰南路嘉林国际综合楼1楼,"111.437446,27.222821"
411,大祥区宝庆中路中心医院6栋,"111.459969,27.232903"
412,大祥区宝庆路转角大楼18号门面,"111.459435,27.231675"
413,北塔区新滩社区居民委员会85号,"111.414935,27.231958"
414,大祥区资江南路12栋10号,"111.460957,27.239023"
415,双清区昭陵路人民巷52号附203号,"111.475743,27.239645"
416,大祥区西外街富宏综合楼11号,"111.458375,27.236250"
417,大祥区宝庆西路72号7-9号门面,"111.451204,27.230692"
418,大祥区民族路老区政府1号门面,"111.453807,27.233183"
419,大祥区宝庆西路湘林综合大楼5号门面,"111.447619,27.230572"
420,大祥区宝庆西路86号门面,"111.447619,27.230572"
421,大祥区城南乡祭旗村,"111.448020,27.215908"
422,大祥区西湖南路176号,"111.447507,27.201118"
423,大祥区城南乡茅坪村6组,"111.479552,27.204580"
424,大祥区樟树垅18号,"111.437089,27.236459"
425,双清区塔北路与双坡路交叉口（矿灯厂门面）,"111.493522,27.250368"
426,大祥区翠园小区第7栋一楼2号,"111.468626,27.224887"
427,大祥区马蹄路多美新苑综合楼11号门面,"111.449436,27.228582"
428,双清区古楼亭三岔路口,"111.478479,27.235763"
429,大祥区敏州西路加油站对面,"111.435555,27.222808"
430,大祥区七里坪居委会,"111.447003,27.208938"
431,双清区渡头桥镇民生村一组24号,"111.588577,27.206712"
432,大祥区宝庆西路162号,"111.446154,27.230636"
433,双清区湘桂黔建材城一期六号市场新二栋6205号,"111.504538,27.237417"
434,大祥区红旗路大祥坪综合楼1号,"111.461431,27.235062"
435,大祥区宝庆西路二纺机菜场内,"111.449327,27.229961"
436,双清区石桥乡金星村15-18号,"111.486907,27.209710"
437,北塔区蔡锷路中驰一城1栋1005号,"111.454312,27.254906"
438,大祥区电信新村马蹄塘十字路口,"111.448941,27.225465"
439,双清区双坡北路塔北壹号公馆小区12号门面,"111.492892,27.248834"
440,双清区新华路,"111.505389,27.243157"
441,双清区邵水东路202号,"111.474411,27.234729"
442,北塔区汽车北站1号门面,"111.449132,27.245855"
443,北塔区资枣社区13栋1单元,"111.448506,27.250785"
444,北塔区中驰第一城南商铺三区1层1001、1002号,"111.454926,27.253563"
445,北塔区田江乡田江村11组,"111.483121,27.257860"
