,sale_center_id,county,cust_id,busi_addr,address
12353,1111430505,邵东县,5021971389,湖南省邵阳市邵东县大禾塘邦盛凤凰城一期区11栋5、6号,大禾塘邦盛凤凰城一期区11栋5、6号
12354,1111430505,邵东县,5021971386,湖南省邵阳市邵东县大禾塘汽贸城24-26号门面,大禾塘汽贸城24-26号门面
12355,1111430505,邵东县,5021971377,湖南省邵阳市邵东县大禾塘创业新村三期41栋13号,大禾塘创业新村三期41栋13号
12356,1111430505,邵东县,5021971374,湖南省邵阳市邵东县佘田桥镇荷公殿村和平组33号,佘田桥镇荷公殿村和平组33号
12357,1111430505,邵东县,5021971420,湖南省邵阳市邵东县大禾塘红岭路446号,大禾塘红岭路446号
12358,1111430505,邵东县,5021971293,湖南省邵阳市邵东县宋家塘昭阳大道汽车西站,宋家塘昭阳大道汽车西站
12359,1111430505,邵东县,5021971409,湖南省邵阳市邵东县黑田铺镇齐合居委会,黑田铺镇齐合居委会
12360,1111430505,邵东县,5021971393,湖南省邵阳市邵东县大禾塘建设北路383号,大禾塘建设北路383号
12361,1111430505,邵东县,5021971411,湖南省邵阳市邵东县魏家桥镇毛荷村9组14号,魏家桥镇毛荷村9组14号
12362,1111430505,邵东县,5021971397,湖南省邵阳市邵东县团山镇双江村21号,团山镇双江村21号
12363,1111430505,邵东县,5021971408,湖南省邵阳市邵东县宋家塘昭阳大道682号,宋家塘昭阳大道682号
12364,1111430505,邵东县,5021971381,湖南省邵阳市邵东县廉桥镇徐家铺村（中南木材市场）十一栋三、四号,廉桥镇徐家铺村（中南木材市场）十一栋三、四号
12365,1111430505,邵东县,5021971403,湖南省邵阳市邵东县灵官殿镇公田村石潭街15号,灵官殿镇公田村石潭街15号
12366,1111430505,邵东县,5021971371,湖南省邵阳市邵东县宋家塘枫林南路预编地276号,宋家塘枫林南路预编地276号
12367,1111430505,邵东县,5021971399,湖南省邵阳市邵东县宋家塘乾元路112号,宋家塘乾元路112号
12368,1111430505,邵东县,5021971421,湖南省邵阳市邵东县大禾塘昭阳大道天贸花苑2栋122号,大禾塘昭阳大道天贸花苑2栋122号
12369,1111430505,邵东县,5021971402,湖南省邵阳市邵东县大禾塘解放北路201-203号后门面（连江路振东巷）,大禾塘解放北路201-203号后门面（连江路振东巷）
12370,1111430505,邵东县,5021971395,湖南省邵阳市邵东县黑田铺镇玉京村,黑田铺镇玉京村
12371,1111430505,邵东县,5021971423,湖南省邵阳市邵东县宋家塘托运城昭阳路73号101室,宋家塘托运城昭阳路73号101室
12372,1111430505,邵东县,5021971404,湖南省邵阳市邵东县砂石镇砂石街,砂石镇砂石街
12373,1111430505,邵东县,5021971410,湖南省邵阳市邵东县水东江镇水东江街,水东江镇水东江街
12374,1111430505,邵东县,5022971392,湖南省邵阳市邵东县仙槎桥镇青江村,仙槎桥镇青江村
12375,1111430505,邵东县,5021971413,湖南省邵阳市邵东县两市塘办事处东风路2号,两市塘办事处东风路2号
12376,1111430505,邵东县,5021971429,湖南省邵阳市邵东县宋家塘景秀路551-553号,宋家塘景秀路551-553号
12377,1111430505,邵东县,5021971387,湖南省邵阳市邵东县宋家塘衡宝路城北加油站对面,宋家塘衡宝路城北加油站对面
12378,1111430505,邵东县,5021971426,湖南省邵阳市邵东县牛马司镇坡江村,牛马司镇坡江村
12379,1111430505,邵东县,5021971427,湖南省邵阳市邵东县宋家塘保健品市场长寿路113号,宋家塘保健品市场长寿路113号
12380,1111430505,邵东县,5021971390,湖南省邵阳市邵东县堡面前乡永桂村1组17号,堡面前乡永桂村1组17号
